message,label
winner as valued network customer you hvae been selected to receive 900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,spam
can please come up now imin towndontmatter if urgoin outl8rjust reallyneed 2docdplease dontplease dontignore mycallsu no thecd isvimportant tome 2moro,ham
ic there are lotta childporn cars then,ham
guys never invite me anywhere,ham
oh really perform write paper go to movie and be home by midnight huh,ham
lol thats different dont go trying to find every real life photo you ever took,ham
dont want to hear anything,ham
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed free entry 100 wkly draw txt music to 87066,spam
can call me at 1010 to make sure dat ive woken up,ham
detroit the home of snow enjoy it,ham
cos darren say considering mah so ask,ham
sms chat with me,ham
sports fans get the latest sports news str ur mobile wk free plus free tone txt sport on to 8007 wwwgetzedcouk 0870141701216 norm 4txt120p,spam
the current leading bid is 151 to pause this auction send out customer care 08718726270,spam
had your mobile 10 mths update to the latest cameravideo phones for free keep ur same number get extra free minstexts text yes for call,spam
then cant get da laptop my matric card wif lei,ham
need you to be in my strong arms,ham
get free mobile video player free movie to collect text go to 89105 its free extra films can be ordered ts and cs apply 18 yrs only,spam
oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,ham
not much just some textin how bout you,ham
dear matthew please call 09063440451 from landline your complimentary 4lux tenerife holiday or 1000 cash await collection ppm150 sae tcs box334 sk38xh,spam
good afternoon babe how goes that day any job prospects yet miss you my love sighs,ham
dear uve been invited to xchat this is our final attempt to contact txt chat to 86688,spam
even cant close my eyes you are in me our vava playing umma,ham
todays voda numbers ending 5226 are selected to receive 350 award if you hava match please call 08712300220 quoting claim code 1131 standard rates app,spam
predict wat time üll finish buying,ham
yeah if we do have to get random dude we need to change our info sheets to party ltgt never study just to be safe,ham
what im saying is if you havent explicitly told nora know someone im probably just not gon na bother,ham
free msg single find partner in your area 1000s of real people are waiting to chat nowsend chat to 62220cncl send stopcs 08717890890150 per msg,spam
hi my email address has changed now it is,ham
arun can transfr me amt,ham
dunno he jus say go lido same time 930,ham
thats cool want to please you,ham
dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut good one in real sense,ham
but ill going sch on mon my sis need take smth,ham
take care and sleep wellyou need to learn to change in lifeyou only need to get convinced on thati will wait but no more conversations between usget convinced by that timeyour family is over for you in many sensesrespect them but not overemphasiseor have no role in my life,ham
hmmm guess we can go kb power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,ham
heart is empty without love mind is empty without wisdom eyes empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,ham
had your mobile 11mths update for free to oranges latest colour camera mobiles unlimited weekend calls call mobile upd8 on freefone 08000839402 or 2stoptxt,spam
sunshine quiz wkly win top sony dvd player if know which country the algarve is in txt ansr to 82277 150 sptyrone,spam
kaiez enjoy ur tuition gee thk second option sounds beta ill go yan jiu den msg,ham
oh right ok ill make sure that do loads of work during the day got really nasty cough today and is dry shot so that should really help it,ham
am great princess what are you thinking about me,ham
oops am at my mums in somerset bit far back tomo see you soon,ham
alright ill head out in few minutes text me where to meet you,ham
be sure to check your yahoo email we sent photos yesterday,ham
total video converter free download type this in google search,ham
maybe you should find something else to do instead,ham
good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile think of you my love as always,ham
not for possession especially not first offense,ham
yes that will be fine love you be safe,ham
ey calm downon theacusations itxt cos iwana know wotu doin at thewend haventcn in agesring me if ur up4 nething satlove xxx,ham
were finally ready fyi,ham
there are many company tell me the language,ham
good afternoon my boytoy how are you feeling today better hope are you being my good boy are you my obedient slave do you please your queen,ham
great have to run now so ttyl,ham
if you have belive me come to my home,ham
went to ganesh dress shop,ham
oh yeah forgot can only take out shopping at once,ham
got your back do you have any dislikes in bed,ham
do you want new video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,spam
chile please its only ltdecimalgt hour drive for me come down all the time and will be subletting febapril for audition season,ham
will be gentle princess we will make sweet gentle love,ham
need coz never go before,ham
ringtoneking 84484,spam
enjoy the showers of possessiveness poured on by ur loved ones bcoz in this world of lies it is golden gift to be loved truly,ham
urgent we are trying to contact todays draw shows that you have won 800 prize guaranteed call 09050001808 from land line claim m95 valid12hrs only,spam
freemsg hey im buffy 25 and love to satisfy men home alone feeling randy reply my pix qlynnbv help08700621170150p msg send stop to stop txts,spam
no youll just get headache trying to figure it out can trust me to do the math promise,ham
does cinema plus drink appeal tomo is fr thriller by director like on at mac at 830,ham
sorry de went to shop,ham
ur cashbalance is currently 500 pounds to maximize ur cashin now send cash to 86688 only 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,spam
and is there way you can send shades stuff to her and she has been wonderful too,ham
miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one with great phone receiving quality wins,ham
lol no just was busy,ham
today is song dedicated day which song will dedicate for me send this to all ur valuable frnds but first rply me,ham
hi dude hw da realy mising today,ham
is there any training tomorrow,ham
nah its straight if you can just bring bud or drinks or something thats actually little more useful than straight cash,ham
for the first time in the history need comfort and luxury are sold at same price in india onionrs ltgt petrolrs ltgt beerrs ltgt shesil ltgt,ham
but have to like to have love and arrange,ham
in the simpsons movie released in july 2007 name the band that died at the start of the film agreen day bblue day cred day send or,spam
he said that he had right giggle when he saw again you would possibly be the first person2die from nvq but think how much you could for,ham
realise you are busy guy and im trying not to be bother have to get some exams outta the way and then try the cars do have gr8 day,ham
ok,ham
well theres still bit left if you guys want to tonight,ham
are there ta jobs available let me know please cos really need to start working,ham
apps class varaya elaya,ham
thanx yup we coming back on sun finish dinner going back hotel now time flies were tog exactly mth today hope well haf many more mths to come,ham
hi happy new year dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is thanks,ham
am real baby want to bring out your inner tigress,ham
kkim also finewhen will you complete the course,ham
hmm bits and pieces lol sighs,ham
ha ha nan yalrigu heltiniiyo kothi chikku shared many things wit meso far didnt told any body and even uttered word abt if ur trusting me so much how can tell these to others plz nxt time dont use those words to meok chikkub,ham
velly good yes please,ham
im not she lip synced with shangela,ham
cool text me when youre parked,ham
will do was exhausted on train this morning too much wine and pie you sleep well too,ham
well keep in mind ive only got enough gas for one more round trip barring sudden influx of cash,ham
subscribed textcomp 250 wkly comp 1st wks free question follows subsequent wks charged150pmsg2 unsubscribe txt stop 84128custcare 08712405020,spam
hi this is amy we will be sending you free phone number in couple of days which will give you an access to all the adult parties,spam
yo any way we could pick something up tonight,ham
urgent we are trying to contact todays draw shows that you have won 800 prize guaranteed call 09050003091 from land line claim c52 valid12hrs only,spam
my parents my kidz my friends my colleagues all screaming surprise and was waiting on the sofa naked,ham
goodmorning today am late for ltgt min,ham
not directly behind abt rows behind,ham
and whenever you and see we can still hook up too,ham
bored housewives chat date now 08717507711 btnational rate 10pmin only from landlines,spam
stupidits not possible,ham
we live in the next ltgt mins,ham
its ok wun angry msg aft come home tonight,ham
hmmm and imagine after youve come home from that having to rub my feet make me dinner and help me get ready for my date are you sure your ready for that kind of life,ham
dear voucher holder to claim this weeks offer at your pc please go to httpwwwwtlpcouktext tscs apply,spam
dont think so it turns off like randomlly within 5min of opening,ham
and smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you grins,ham
his frens go then he in lor not alone wif my mum sis lor,ham
im gon na be home soon and dont want to talk about this stuff anymore tonight ive cried enough today,ham
sorry im not free,ham
she is our sister she belongs our family she is hope of tomorrow pray herwho was fated shoranur train incident lets hold our hands together amp fuelled by love amp concern prior her grief amp pain pls join in dis chain amp pass it stop violence against women,ham
the beauty of life is in next second which hides thousands of secrets wish every second will be wonderful in ur life gud n8,ham
thinkin about someone is all good no drugs for that,ham
alex says hes not ok with you not being ok with it,ham
it didnt work again oh ok goodnight then ill fix and have it ready by the time you wake up you are very dearly missed have good night sleep,ham
aight well head out in few,ham
will going to esplanade fr home,ham
cant pick the phone right now pls send message,ham
jason says hes gon na be around so ill be up there around ltgt,ham
haha awesome ive been to 4u couple times who alls coming,ham
how long has it been since you screamed princess,ham
free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout674,spam
it does it on its own most of the time it fixes my spelling but sometimes it gets completely diff word go figure,ham
sorry ill call later in meeting any thing related to trade please call arul ltgt,ham
ya when are taking ure practical lessons start in june,ham
cheers for the message zogtorius ive been staring at my phone for an age deciding whether to text or not,ham
its valentine game send dis msg to all ur friends if answers same then someone really loves ques which colour suits me the bestrply me,ham
hi its kate can give me ring asap xxx,ham
if dun drive then how go sch,ham
they have thread on the wishlist section of the forums where ppl post nitro requests start from the last page and collect from the bottom up,ham
complimentary star ibiza holiday or 10000 cash needs your urgent collection 09066364349 now from landline not to lose out box434sk38wp150ppm18,spam
can you pls pls send me mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,ham
shall bring us bottle of wine to keep us amused only joking ill bring one anyway,ham
yeah thats the impression got,ham
got it before the new year cos yetunde said she wanted to surprise you with it but when didnt see money returned it mid january before the ltgt day return period ended,ham
ha ha had popped down to the loo when you helloed me hello,ham
lol know hey someone did great inpersonation of flea on the forums love it,ham
only work from mon to thurs but sat cant leh booked liao which other day free,ham
okey dokey ill be over in bit just sorting some stuff out,ham
juz go google search qet,ham
never blame day in ur life good days give happiness bad days give experience both are essential in life all are gods blessings good morning,ham
only if you promise your getting out as soon as you can and youll text me in the morning to let me know you made it in ok,ham
urgent your mobile was awarded 1500 bonus caller prize on 27603 our final attempt contact call 08714714011,spam
dear take care am just reaching homelove lot,ham
if you home then come down within min,ham
doubt you could handle times per night in any case,ham
wont do anything de,ham
yeah ill leave in couple minutes amp let you know when get to mu,ham
will come to ur home now,ham
the word checkmate in chess comes from the persian phrase shah maat which means the king is dead goodmorning have good day,ham
have secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on 09058094565,spam
urgent important information for o2 user today is your lucky day find out why log onto httpwwwurawinnercom there is fantastic surprise awaiting for you,spam
last chance claim ur 150 worth of discount vouchers today text shop to 85023 now savamob offers mobile cs savamob pobox84 m263uz 300 sub 16,spam
howz painit will come down todaydo as said ystrdayice and medicine,ham
here is my new address applespairsall that malarky,ham
free msg get gnarls barkleys crazy ringtone totally free just reply go to this message right now,spam
ive got ltgt any way could pick up,ham
teach me apps da when you come to college,ham
yo you at jp and hungry like mofo,ham
just got up have to be out of the room very soon hadnt put the clocks back til at shouted at everyone to get up and then realised it was wahay another hour in bed,ham
talk to and about that,ham
ugh my leg hurts musta overdid it on mon,ham
we have new local dates in your area lots of new people registered in your area reply date to start now 18 only wwwflirtpartyus replys150,spam
kate jackson rec center before 7ish right,ham
aight should just plan to come up later tonight,ham
when is school starting where will you stay whats the weather like and the food do you have social support system like friends in the school all these things are important,ham
dont have her number and its gon na be massive pain in the ass and id rather not get involved if thats possible,ham
getting tickets walsall tue th march my mate is getting me them on sat ill pay my treat want go txt bak terry,ham
thk some of em find wtc too far weiyi not goin rest dunno yet ur goin dinner den might able to join,ham
hate when she does this she turns what should be fun shopping trip into an annoying day of how everything would look in her house,ham
kent vale lor wait me there ar,ham
hey so whats the plan this sat,ham
hello my boytoy geeee miss you already and just woke up wish you were here in bed with me cuddling me love you,ham
update_now 12mths half price orange line rental 400minscall mobileupd8 on 08000839402 or call2optoutj5q,spam
ok try to do week end course in coimbatore,ham
im an actor when work work in the evening and sleep late since im unemployed at the moment always sleep late when youre unemployed every day is saturday,ham
have you got xmas radio times if not will get it now,ham
great escape fancy the bridge but needs her lager see you tomo,ham
ok,ham
dear reached railway what happen to you,ham
theres no point hangin on to mr not right if hes not makin happy,ham
easy ahsen got selected means its good,ham
yo come over carlos will be here soon,ham
dont have shall buy one dear,ham
thats bit weird even where is the do supposed to be happening but good idea sure they will be in pub,ham
shes good she was wondering if you wont say hi but shes smiling now so how are you coping with the long distance,ham
dont flatter yourself tell that man of mine two pints of carlin in ten minutes please,ham
09066362231 urgent your mobile no 07xxxxxxxxx won 2000 bonus caller prize on 020603 this is the 2nd attempt to reach you call 09066362231 asap,spam
mathews or tait or edwards or anderson,ham
hello we need some posh birds and chaps to user trial prods for champneys can put you down need your address and dob asap ta,spam
all best ur driving tmr,ham
if you want to mapquest it or something look up usf dogwood drive thats the tiny street where the parking lot is,ham
love you you know can you feel it does it make your belly warm wish it does my love shall meet you in your dreams ahmad adoring kiss,ham
can win 100 of music gift vouchers every week starting now txt the word draw to 87066 tscs wwwldewcom skillgame1winaweek age16150ppermesssubscription,spam
lol well dont do it without me we could have big sale together,ham
new tones this week include 1mcflyall ab sara jorgeshock will smithswitch to order follow instructions on next message,spam
got it seventeen pounds for seven hundred ml hope ok,ham
what time you coming down later,ham
machan you go to gym tomorrow wil come late goodnight,ham
nt joking seriously told,ham
hi happy birthday hi hi hi hi hi hi hi,ham
that would be good ill phone you tomo lunchtime shall to organise something,ham
dont make ne plans for nxt wknd coz she wants us to come down then ok,ham
no didnt mean to post it wrote it and like so many other times ive ritten stuff to you let it sit there it was what was feeling at the time was angry before left hit send then stop it wasnt there checked on my phone when got to my car it wasnt there you said you didnt sleep you were bored so why wouldnt that be the time to clean fold laundry etc at least make the bed,ham
still working now,ham
have secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on 09065171142stopsms08718727870150ppm,spam
actually decided was too hungry so havent left yet,ham
come to me slave your doing it again going into your shell and unconsciously avoiding me you are making me unhappy,ham
this pen thing is beyond joke wont biro do dont do masters as cant do this ever again,ham
same im at my great aunts anniversary party in tarpon springs,ham
good afternoon my boytoy how goes that walking here and there day did you get that police abstract are you still out and about wake and miss you babe,ham
hi darlin how was work did get into trouble ijust talked to your mum all morning had really good time last night im goin out soon but call me if can,ham
best msg its hard to be with person when know that one more step foward will make fall in love amp one step back can ruin ur friendship good night,ham
free polyphonic ringtone text super to 87131 to get your free poly tone of the week now 16 sn pobox202 nr31 7zs subscription 450pw,spam
come around ltdecimalgt pm vikkyim otside nw il come by tht time,ham
you know my old dom told you about yesterday his name is roger he got in touch with me last night and wants me to meet him today at pm,ham
might go sch yar at salon now boring,ham
send me the new number,ham
not at home now lei,ham
love you both too,ham
play computer aiyah tok lor,ham
jus telling dat ill leaving shanghai on 21st instead so well haf more time meet up cya,ham
to review and keep the fantastic nokia ngage game deck with club nokia go wwwcnupdatescomnewsletter unsubscribe from alerts reply with the word out,spam
cant believe said so many things to you this morning when all really wanted to say was good morning love you have beautiful morning see you in the library later,ham
do you mind if ask what happened you dont have to say if it is uncomfortable,ham
so is there anything specific should be doing with regards to jaklin or what because idk what the fuck,ham
sick still can go shopping,ham
life alle moneeppolum oru pole allalo,ham
hey will be really pretty late you want to go for the lesson first will join you im only reaching tp mrt,ham
your weekly coolmob tones are ready to download this weeks new tones include crazy frogaxel akonlonely black eyeddont more info in,spam
aiyo cos sms then neva reply so wait to reply lar tot havent finish ur lab wat,ham
oh ho is this the first time use these type of words,ham
boo hows things im back at home and little bored already,ham
jay says that youre doublefaggot,ham
moji love you more than words have rich day,ham
love your ass do you enjoy doggy style,ham
home so we can always chat,ham
eatin later but im eatin wif my frens now lei going home first,ham
im glad you are following your dreams,ham
oh lk tt den we take one tt ends at cine lor dun wan yogasana oso can,ham
bring home some wendy,ham
dont pack what you can buy at any storelike cereals if you must pack food pack gari or something 9ja that you will miss,ham
yan jiu liao sat we can go bugis vill one frm 10 to den hop to parco nb sun can go cine frm 1030 to den hop to orc mrt hip hop at,ham
argh why the fuck is nobody in town,ham
yay finally lol missed our cinema trip last week,ham
camera quite good 101mega pixels 3optical and 5digital dooms have lovely holiday be safe and hope you hav good journey happy new year to you both see you in couple of weeks,ham
ltgt in mca but not conform,ham
prakesh is there know,ham
tell rob to mack his gf in the theater,ham
free message activate your 500 free text messages by replying to this message with the word free for terms conditions visit www07781482378com,spam
then just eat shit and wait for ur monkey face bitch asshole,ham
yup no more already thanx printing handing it up,ham
sexy singles are waiting for you text your age followed by your gender as wither or eg23f for gay men text your age followed by eg23g,spam
yep get with the program youre slacking,ham
do konw waht is rael friendship im gving yuo an exmpel jsut ese tihs msg evrey splleing of tihs msg is wrnog bt sitll yuo can raed it wihtuot ayn mitsake goodnight amp have nice sleepsweet dreams,ham
dont put your phone on silent mode ok,ham
latest news police station toilet stolen cops have nothing to go on,spam
watching tv lor,ham
call me unable to cal lets meet bhaskar and deep,ham
lolnice went from fish to water,ham
booked ticket for pongal,ham
oh my god ive found your number again im so glad text me back xafter this msgs cst std ntwk chg 150,spam
the fact that youre cleaning shows you know why im upset your priority is constantly what want to do not what need to do,ham
oh fine ill be by tonight,ham
is there reason weve not spoken this year anyways have great week and all the best in your exam,ham
no shit but wasnt that surprised so went and spent the evening with that french guy met in town here and we fooled around bit but didnt let him fuck me,ham
gr8 poly tones all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzedcouk pobox365o4w45wq 300p,spam
how much she payed suganya,ham
dont floppy snappy happy only gay chat service with photo upload call 08718730666 10pmin stop our texts call 08712460324,spam
fran decided go way im completely broke an knackered got up bout 2mrw love janx ps this is my dads fone no credit,ham
guess it is useless calling something important,ham
weightloss no more girl friends make loads of money on ebay or something and give thanks to god,ham
hi here have birth at on the to at 8lb 7oz mother and baby doing brilliantly,ham
get me out of this dump heap my mom decided to come to lowes boring,ham
what mean is do they come chase you out when its over or is it stated you can watch as many movies as you want,ham
ahhh work vaguely remember that what does it feel like lol,ham
boooo you always work just quit,ham
so workin overtime nigpun,ham
hey you can pay with salary de only ltgt,ham
private your 2003 account statement for shows 800 unredeemed points call 08718738002 identifier code 48922 expires 211104,spam
zoe it just hit me im fucking shitin myself il defo try my hardest cum 2morow luv millions lekdog,ham
how long before you get reply just defer admission til next semester,ham
there bold ltgt is that yours,ham
ur awarded city break and could win 200 summer shopping spree every wk txt store to 88039skilgmetscs087147403231winawkage16150perwksub,spam
my planning usually stops at find hella weed smoke hella weed,ham
me fineabsolutly fine,ham
just chill for another 6hrs if you could sleep the pain is not surgical emergency so see how it unfolds okay,ham
urgent this is the 2nd attempt to contact uu have won 1000call 09071512432 b4 300603tcsbcm4235wc1n3xxcallcost150ppmmobilesvary max7 50,spam
am that much dirty fellow,ham
wish were here feel so alone,ham
can look me in da lib got stuff havent finish yet,ham
pls she needs to dat slowly or she will vomit more,ham
no go no openings for that room til after thanksgiving without an upcharge,ham
dear got bus directly to calicut,ham
you have new message please call 08712400200,spam
your gon na be the death if me im gon na leave note that says its all robs fault avenge me,ham
hitechnical supportproviding assistance to us customer through call and email,ham
nvm im going to wear my sport shoes anyway im going to be late leh,ham
didnt get anything da,ham
auntie huai juan never pick up her phone,ham
aight what time you want me to come up,ham
im ok will do my part tomorrow,ham
wow impressed have funs shopping,ham
alright tylers got minor crisis and has to be home sooner than he thought so be here asap,ham
omg joanna is freaking me out shes looked thru all my friends to find photos of me and then shes asking about stuff on my myspace which havent even logged on in like year,ham
yes but dont care need you bad princess,ham
urgent please call 09061213237 from landline 5000 cash or holiday await collection cs sae po box 177 m227xy 16,spam
mystery solved just opened my email and hes sent me another batch isnt he sweetie,ham
free camera phones with linerental from 449month with 750 cross ntwk mins 12 price txt bundle deals also avble call 08001950382 or call2optoutj mf,spam
congrats year special cinema pass for is yours call 09061209465 now suprman matrix3 starwars3 etc all free bx420ip45we 150pm dont miss out,spam
seriously tell her those exact words right now,ham
somewhr someone is surely made and god has decided perfect time to make meet dat person till den enjoy ur crushes,ham
dont have anybodys number still havent thought up tactful way to ask alex,ham
haha my legs and neck are killing me and my amigos are hoping to end the night with burn think could swing by in like an hour,ham
hi its jess dont know if you are at work but call me when can im at home all eve xxx,ham
all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to 82468,spam
win 200 shopping spree every week starting now play text store to 88039 skilgme tscs08714740323 1winawk age16 150perweeksub,spam
eat jap done oso aft ur lect wat got lect at 12 rite,ham
dont look back at the building because you have no coat and dont want you to get more sick just hurry home and wear coat to the gym,ham
where are youwhen wil you reach here,ham
congratulations thanks to good friend have won the 2000 xmas prize claim is easy just call 08718726971 now only 10p per minute btnationalrate,spam
ask or iouri ive told the story like ten times already,ham
is there any movie theatre can go to and watch unlimited movies and just pay once,ham
sorry to be pain is it ok if we meet another night spent late afternoon in casualty and that means havent done any of stuff42moro and that includes all my time sheets and that sorry,ham
although told dat im into baig face watches now but really like watch gave cos its fr thanx everything dat uve done today im touched,ham
awesome think we can get an 8th at usf some time tonight,ham
haha yeah oz is kind of shitload,ham
don knowwait will check it,ham
nope wif my sis lor aft bathing my dog then can bathe looks like its going rain soon,ham
urgent your mobile no was awarded 2000 bonus caller prize on 5903 this is our final try to contact call from landline 09064019788 box42wr29c 150ppm,spam
thats cool ill come by like ltgt ish,ham
ok then will come to ur home after half an hour,ham
what happened to our yo date,ham
im not coming over do whatever you want,ham
wen did you get so spiritual and deep thats great,ham
text82228 get more ringtones logos and games from wwwtxt82228com questions infotxt82228couk,spam
oh did you charge camera,ham
as usualiam fine happy amp doing well,ham
aiyar dun disturb liao thk have lots do aft ur cupboard come,ham
december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906,spam
im still pretty weak today bad day,ham
so gd got free ice cream oso wan,ham
still going to the mall,ham
sez hows de arab boy hope all good give my love evry1 love ya eshxxxxxxxxxxx,ham
2marrow only wed at ltgt to aha,ham
what time do get out,ham
wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st ur lovely friendship good morning dear,ham
hi test on ltgt rd,ham
dips cell dead so coming with him better respond else we shall come back,ham
yes think so am in office but my lap is in room think thats on for the last few days didnt shut that down,ham
oh for fucks sake shes in like tallahassee,ham
just sent again do you scream and moan in bed princess,ham
dunno juz askin cos got card got 20 off salon called hair sense so tot its da one cut ur hair,ham
wow so healthy old airport rd lor cant thk of anything else but ill bathing my dog later,ham
new mobiles from 2004 must go txt nokia to no 89545 collect yours today from only www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction,spam
